point_id,date,n_hours,GHI_Wh_m2,GHI_clearsky_Wh_m2,kt_daily,T2M_min,T2M_max,T2M_mean,RH2M_mean,WS10M_mean
RJP_0055,2021-05-05,24,6844.08,7343.23,0.9320258251477892,26.15,41.76,34.65958333333334,21.10125,2.8037499999999995
RJP_0055,2021-05-06,24,6740.955,7538.325000000001,0.894224512739899,27.35,43.02,35.37416666666667,20.304583333333337,2.9754166666666664
RJP_0055,2021-05-07,24,6857.245000000001,7448.215,0.9206561572135068,27.07,40.74,34.330000000000005,23.735,2.959583333333333
RJP_0055,2021-05-08,24,6682.315,7253.945,0.921197362262879,27.51,41.3,35.17208333333333,21.64708333333333,2.60625
RJP_0055,2021-05-09,24,6121.775,7147.5650000000005,0.8564839914012673,29.29,41.37,35.205000000000005,22.322916666666668,2.947083333333333
RJP_0055,2021-05-10,24,5983.964999999999,7399.3,0.8087204194991416,28.86,42.62,35.97166666666667,20.48375,2.6279166666666662
RJP_0055,2021-05-11,24,5083.085,7657.16,0.6638342414158774,28.67,41.69,35.34375,24.133333333333336,4.5175
RJP_0055,2021-05-12,24,5559.570000000001,7616.56,0.7299318852605376,28.64,39.82,34.2425,29.30958333333333,2.4137500000000003
RJP_0055,2021-05-13,24,7352.41,7726.014999999999,0.951643246874359,25.96,36.59,31.125,38.75333333333334,4.31125
RJP_0055,2021-05-14,24,6453.64,7514.905,0.8587786538885056,25.87,41.31,34.63708333333333,30.12833333333333,2.3095833333333333
RJP_0055,2021-05-15,24,7398.66,7510.379999999999,0.985124587570802,28.66,39.44,33.68416666666666,31.04291666666667,3.772083333333333
RJP_0055,2021-05-16,24,6158.385,7134.955,0.8631287793686155,25.94,42.38,35.13708333333333,32.37708333333333,4.939583333333333
RJP_0055,2021-05-17,24,2951.47,7224.84,0.4085170052208768,22.83,36.36,29.536666666666665,45.635,5.987500000000001
RJP_0055,2021-05-18,24,3126.1400000000003,7081.605,0.4414451243750534,22.09,29.45,25.710416666666664,72.59333333333333,5.223333333333334
RJP_0055,2021-05-19,24,1660.8,7326.65,0.2266793145571304,21.5,30.69,25.405833333333334,79.61708333333333,6.087083333333333
RJP_0055,2021-05-20,24,6749.315,7349.334999999999,0.9183572391243562,21.1,35.97,29.2075,50.859583333333326,4.60125
RJP_0055,2021-05-21,24,6914.415000000001,7324.555,0.9440047893694566,23.16,38.09,30.87166666666667,50.32375,3.2808333333333337
RJP_0055,2021-05-22,24,7650.429999999999,7741.07,0.9882910243674324,24.0,38.86,31.31416666666667,49.89166666666666,3.072083333333333
